index,player_name,position,college,strength,weakness
2870,Aaron Jones,RB,UTEP,,
2212,Alvin Kamara,RB,Tennessee,"Spirited runner with NFL size and speed. Will open creases by varying pace of his runs. Burst to top speed is available at flip of a switch. Creates yardage with speed, wiggle and power. Twitchy and decisive. Strong lower body provides superior balance. Flexible and agile with ability to twist, spin and ricochet off of bodies and continue to gain yards after contact. Very productive; 23 touchdowns in just 284 touches at Tennessee. Well-liked inside program and a team leader. Can play on all three downs. Improved in pass protection and squares up blitzers. Has lined up at slot receiver at times. Sure-handed pass catcher with excellent burst out of breaks to consistently uncover. Has talent as punt returner.","Vision can be hit or miss. Not an instinctive runner. Needs to see running lane develop and is missing a feel for reading progressions of his blocks. Makes inconsistent decisions on stretch plays. Can be his own worst enemy on third level. Will run himself into a tackler rather than setting him up for a downfield blocker. Consistently cuts left when given an open-field choice against tackler. With knee injuries in his background, combine medicals could come into play. Needs to tuck ball high and tight to prevent fumbles"
3880,Amon-Ra St. Brown,WR,USC,"Crafted a variety of release techniques.
Smooth athlete with plus body control.
Adjusts routes and scrambles open when quarterback extends play.
Uses eyes effectively to manipulate coverage near goal line.
Runs routes to create tilt and lean from defenders.
Smooth acceleration through route stems.
Instinctive, talented deep-ball tracker.
Maintains top speed when turning to find the long ball.
Keeps his calm catching with safety ranging toward him.
Feel for stacking defender on hip to expand landing zone of football.
Balance to continue through contact on run after catch.","Play strength might need upgrade against physical cornerbacks.
Press rides on him for early stages of the route.
Has had issues securing catchable throws underneath.
Very average foot quickness and long speed.
Could struggle to knock athletic corners out of route phase.
Below-average separation burst out of breaks.
Drifts into route turns at times.
Lacks stride to open up and find a second gear.
Very little grit in his run blocking."
3447,Antonio Gibson,RB,Memphis,"Makes explosive plays in running, receiving and return game. Offers additional matchup possibilities for coordinators. Runs much faster than it looks. High school sprinter with breakaway potential. Had seven total touchdowns of 40-plus yards. Quick gather and cut on stretch plays. Big runner who absorbs and dismisses angle tackles. Decisive runner and gets to a quality burst. Sees space well with ball in his hands. Sells route stems to tilt coverage off-balance.",Only one season of production. Has 34 career rush attempts. Hip tightness limits fluidity in the open field. Needs more discipline to keep runs on track when it's there. Still learning patience and to set up blocks. Only saw offset stretch runs and jet sweeps as a back. Rolls and drifts in his route breaks. Takes too long getting in and out of breaks.
4309,Brock Purdy,QB,Iowa State,"Four-year starter and team leader.
Different quarterback when he finds his rhythm.
Makes his way through progressions.
Strong hands allow for easy pump fakes to move defenders.
Generally accurate passer between the numbers.
Confident throwing over linebackers and in front of safeties.
Good toughness and anticipation as a runner.
Willing to dive to move the chains.","Pocket setup lacks quickness.
Field blinders occasionally rob him of seeing the big play.
Delivery is labored.
Lacks timing to beat NFL corners outside the numbers.
Shies away from tight-window throws.
Ball needs to come out sooner on deep-ball shots.
Confidence and consistency have been issues."
2565,Chris Godwin,WR,Penn State,,
3837,Chuba Hubbard,RB,Oklahoma State,"Showed ability to carry a significant load.
Runs with good tempo.
Smooth downhill flow with efficient change of direction.
Instinctive through the traffic.
Accurate reads up to linebackers in outside zone.
Vision to recognize and get skinny through small creases.
Agile feet to spin or jump-cut away from tacklers.
Rarely bounces runs wide unnecessarily.
Angle tackles slide off loose, slippery hips.
Effective on screens and can work out of backfield against LBs","Is a little lighter than expected for the heavy tote total.
Below-average leg drive to break NFL tackles.
Not a fall-forward finisher.
Running style is more rigid than creative.
Needs willingness to improvise once he's on second level.
Average burst to outrun faster linebackers to the corner.
Fumbles come from carrying ball away from frame in space.
Needs to improve blitz recognition and pass pro technique."
2213,Cooper Kupp,WR,Eastern Washington,"Utilized as a slot receiver in college but could transition outside. Produced elite numbers against a lower level of competition but saved a monster game for Washington State early in the season. He is as natural a pass catcher as you will find with desired competitive drive on each snap. His transition to NFL-level cornerbacks will take time, but he has the ability to become an early No. 3 receiver and eventual starter.",A little upright though his routes. Lateral quickness out of breaks underneath provide no early separation. Operated as big slot but could lack separation quickness to open clean throwing windows underneath for NFL quarterbacks. Build-up runner who doesn't seem to eat up the early cushion. Some scouts question ability to be a productive starter as outside receiver. Excessive fakes and jukes into breaks at times; will need to win with more efficient routes. Protracted gear-down getting into breaks for deep comebacks.
1821,Dak Prescott,QB,Mississippi State,"Thick, muscular frame. Has proven over last three seasons that he can withstand a pounding. Has enough natural arm strength and hip snap to fit throws into an NFL window. Stands tall and delivers a tight spiral with over-­the­-top delivery. Very little wind­up and gets ball out with the flick of a wrist. When pocket is clean, can deliver accurate strikes around the field. Played with improved vision and care for football this season and eliminated many of the ill-­fated throws that turned into interceptions in 2014. Still a work in progress, but continues to show a level of growth as a passer. Threat with his legs, scoring 37 rushing touchdowns over last three seasons and had 94 rushes of ten yards or more during that time. Can be used as goal-­line rushing option. Willing to extend plays outside of pocket with legs but look to finish the play with his arm. Mentally tough enough to carry a heavy offensive burden for the Bulldogs over last three years. When protected better in 2014, showed an ability to challenge deep and strike with accuracy and touch.","Beat up this year thanks to poor protection. When he wasn't being sacked, he was being hit hard. Not as competitive a rusher in 2015. Sacks and usage in run game might be taking a toll. Increase in short pass attempts from 86 to 208 this year reason for higher completion numbers. Accuracy on intermediate and deep throws dropped sharply. Pocket poise has been compromised. Hyper­ aware of pressure around him and lacks awareness to slide and find temporary shelter to make throw. Concern over pressure too often trumps ability to get through progressions. Must speed up the pace of his reads. Footwork is a mess. Slight stride onto stiff upper leg with little weight shift. Restricted follow through and too often tries to muscle throws with upper body. Throws to target rather than leading or throwing them open on short/intermediate throws. Too respectful of underneath coverage and must be more willing to challenge the defense. Needs to improve anticipation."
3689,Dalton Schultz,TE,Stanford,Very tenacious and tough as a blocker. Well-schooled in blocking fundamentals. Leaned on as vital part of the run blocking unit. Initial hand placement is good. Ability to sustain and finish. Improves positioning after contact and can generate some movement at point of attack without a double team. Gave it to USC's Rasheem Green on more than a couple of snaps when matched head to head. Sinks hips into breaks. Opens sharply on underneath routes to look for the throw. Has good feel for attacking the voids against zone coverage. Will shut routes down early to keep throwing window open for quarterback. Physical in creating space at top of his routes. Short area footwork is adequate. Has ability to become a reliable target over the middle and in traffic.,"Receiving production has been underwhelming throughout his career. Routes can be monotonous and predictable. Allows too much leeway for defenders to play the catch point. Needs to play bigger in space and use his frame. Lacks speed to attack over top. Struggles to separate against man coverage on intermediate routes. Could have somewhat limited workspace as NFL pass catcher. Not as physical after the catch. Slows feet into contact and won't always fall forward. Strikes first, but will lose initial hand placement when long defenders get into him. Can improve approach angles to help keep angle blocks centered."
3025,Darius Slayton,WR,Auburn,Has the traits/ability to work on all three levels. Able to get away from press without delays. Big accelerator off the line of scrimmage. Runs with gliding strides. Electric deep ball speed to stretch the field. Posted six touchdowns of 50-plus yards since 2017. Eyes find football quickly for back-shoulder adjustments. Finds an extra few inches of catch-radius for high throws. Quick to get upfield after catch. Make-you-miss runner with above average YAC potential. Uses hands effectively to create distance from cornerbacks.,Inconsistent hands and catches back half of the football. Has a high drop rate over last two seasons. Lacks catch readiness to handle the heat. Ball-tracking is a mixed bag on deep balls. Below-average understanding of his route-running. Makes clumsy attempts to gain leverage. Separation from breaks doesn't match his traits. Needs to become more skilled and physical at top of his route. Had problems countering Deandre Baker's tenacious coverage
3443,Darnell Mooney,WR,Tulane,Capable of lining up inside or outside. Uses sudden stem and release to beat press. Instant cushion muncher against off-man. Will turn a short slant into a long touchdown. Suddenness to separate out of breaks underneath. Explosive speed with ability to work all three levels. Above average locating and tracking deep throws. Instinctive positioning and body adjustments help him bring it in. Trampoline leaper to get up and over for high-point. Almost every touchdown in 2019 was contested.,Built like a stick with thin frame and limbs. Size brings natural concerns over durability. Not enough attention to detail in his routes. In a hurry to get from Point A to Point B. Had troubling dealing with physical route-matchers. Disappointing drops on shorter throws. Struggled making adjustments to throws outside his frame. Has almost no special teams experience in college.
1433,David Johnson,RB,Northern Iowa,"Positives: Fullback/tight end combination with matching build: well-built lower body with fullback height and long arms usually seen on receivers. Lines up with his hand down and as an H-back. Excellent in-line and open-field blocker. Uses leg strength to get out of his stance quickly and get into his route or block, anchors well and pushes aside defensive ends with 30 to 50-pound weight advantages. Finds targets in space and negates them using his length and strength. Good hands; can snatch balls from the air and adjust to poor throws. Has the speed to get deep down the seam. Used as outside protector on placements. ","Negatives: Will be most effective in an H-back or true fullback position because of his lack of height. Inexperienced playing fullback in the I-formation. Generally played against a lower level of competition, although Arkansas State does play stronger non-conference games. Must work on hand technique and get up to speed against stronger, quicker defensive ends and linebackers when blocking."
3047,David Montgomery,RB,Iowa State,Compact frame is built for the rigors of his work. Instinctive runner with ability to stack moves. Patient runner with plus vision up to second level. Glides behind his bigs and sets up his blocks. Gears up and down to counter flowing linebackers. Rhythmic but forceful. Offers no easy outs for tacklers. Powerful lower body creates rare contact balance. Adequate agility to elude one tackler and then punish the next. Takes care of the football and rarely fumbles. Plays with shake at the top of his route. Natural hands with ability to pluck it outside his frame. Good blitz recognition in pass pro.,"Heavy workload over the last two seasons. Has carried it 20-plus times in 13 of his last 19 games. Takes his fair share of heavy hits. Runs with some tightness in his hips. Unable to make steep cuts against the grain on backside. Below-average burst to open space. Low number of explosive carries during his career. Lacks pure speed to outrun NFL linebackers to the corner. Makes a tackler miss, but doesn't have juice to get away from the next one"
3010,Devin Singletary,RB,Florida Atlantic,"High-end production seems to follow him. Touchdown monster with vision and power near goal line. Quick to process and respond to oncoming traffic. First responder rarely gets him down. Twitchy footwork for instant stop-starts. Limber for long, lateral jump-cuts. Instant acceleration after short-area cuts to avoid tacklers. Shrinks to sneak in and out of creases between the tackles. Access to steep, backside cuts. Eludes lurking angle tackles with plus peripheral vision. Good feel for bold cuts versus subtle ones in open field. Willful, determined demeanor of a much bigger back. Rare ability to absorb powerful shots and balance through contact. Runs frequently end with him still on his feet. Creates through power and shake to maximize each carry. Route separation to threaten out of backfield. Courageous pass protection with a highlight reel full of greatest hits.","Volume runner in a change-of-pace body. Has close to 600 contact-filled touches over last two seasons. Lacks top-end speed to run away from opponents in space. Play speed tends to be monotone throughout the rep. Rarely keeps runs play-side and looks for early cuts. Excessive cuts will be met with earlier tackles from swarming, NFL defenders. Will need to learn to run a more disciplined track. Tendency is to bounce it to his left. Power diminishes when facing squared contact. Suffered from focus drops this season."
3000,Diontae Johnson,WR,Toledo,"Big-time playmaking potential. Touchdowns of 80 (receiving), 83 (punt return) and 98 (kick return) in 2018. Has ""look out!"" talent with the ball in his hands. Twitchy mover from whistle to whistle. Agile and sudden to slide easily around press. Unorthodox but effective in early stages of his route. Early acceleration creates early route leads. Plays with toughness and fights for his leverage in the route. Electric feet for sharp route cuts. Gadget talent for screens and sweeps. Makes an effort to angle up and wall off safeties in run game.",Play strength is below average. Needs to trust the route. Tends to freelance and can throw timing of the route off. Very raw getting in and out of his breaks. Will need to play with much better balance and footwork in routes. Lacks desired length and size for deep ball wins. Contested catches could be a problem for him at the next level. Focus drops are an issue for him. Has issues pulling in balls outside his frame. Doesn't play with sudden hands.
1443,Duke Johnson,RB,Miami,"Explosive burst and plays with suddenness. Elusive in tight quarters. Has lightning in his feet. Has hips and feet to stop and start without stalling. Rare ability on stretch plays to hit cutback lanes that other backs can't get to. Runs with patience and a well-timed burst. Has great feel as zone-scheme, one-cut runner. Changes direction without breaking stride. Courageous runner. Shows no fear when getting downhill. Strong-willed competitor with toughness. Has second gear around the corner and can erase the angles. Gets small(er) through the hole and runs behind pads. Fights through arm tackles. Regroups and balances himself after initial contact. Reads and sets up routes and adjusts to poorly thrown balls.","Average inside runner, where feel and instincts are concerned. Vision fails him at times when running between the tackles. Won't always see initial hole and will mash turbo button, hoping to power through to second level. At times unwilling to do dirty work in pass protection. Looks for cut blocks rather than squaring up and playing with technique and toughness. Tries to run to daylight once in open field rather than just finishing runs. Hampered by injuries in 2014 and broke his ankle in 2013. Medicals will be combed over. Must improve ball security after fumbling six times over last two seasons."
3418,Gabe Davis,WR,UCF,Had multiple touchdowns five times in 2019. Consistently catches with extended hands away from frame. Expert hand fighter short and deep. Creates space for outside press release with stiff jab. Stacks cornerback and gives gentle push-offs for vertical separation. Wins over the top with timing and high-point extension. Catch radius to turn overthrows into catches underneath. Size and strength for all blocking duties. Smooth burst at stem to gain ground on post routes. Skilled ball tracker deep. Double moves feature fluid stop-start.,Excessive stutter-steps against soft press positioning. Doesn't have threatening initial surge into routes. Tight hips limit quickness into breaks. Could struggle to find operating room as a pro. Schemed into multiple one-on-one looks downfield. Needs to get shoulders squared to throws to protect catch space. Below-average talent after the catch. Ran limited route tree. Takes plays off when he's not primary target.
3019,Gardner Minshew,QB,Washington State,Scouts say teammates rallied around him despite being in Pullman just one year. Enthusiastic and energetic on the field. Gives safeties very little time to diagnose where he's going with the ball. Works rapidly through progressions and can get the ball out quickly. Excellent poise from pocket and doesn't slide around unnecessarily. Weaponizes pump fake as a tool to manipulate defenders. Natural feel for timing as a passer. Works around arm limitations by throwing early and with great placement. Accuracy and ball placement is remarkably consistent. Owns the back-shoulder throw and can wear out cornerbacks with it. Drops perfectly thrown balls into deep buckets with rare accuracy and touch. Unfazed by additional rushers and willing to stand in and deliver.,Below-average height for an NFL quarterback. High number of batted passes with more likely to come in the pros. Benefitted from scheme that allowed an abundance of one-on-ones. Scouts are concerned by perceived lack of arm strength. Awful game against Washington after dominating lesser defenses in conference. Very little stride-and-drive in his release. Intermediate and deep throws require additional air. Nose of the ball will drop some on drive throws. Appears to lack some confidence with touch throws over linebackers in zone. Defaults to the short read on high/low looks. Unlikely to run away from closing rushers.
2518,George Kittle,TE,Iowa,Has broad shoulders and waist with a durable frame. Plays in pro-style attack and approaches blocking like an offensive lineman. Comes off the ball with good pad level and strikes with leverage and hands inside opponent's frame. Blocks with good technique and has footwork to get to reach blocks and combos. Hands are confident and sure with just one drop against 48 catches. Able to make sudden body adjustments to poorly thrown balls. Flashes vertical speed to become a seam worker. Physical runner after the catch with more wiggle than you would expect.,Patterns are inconsistent and he rarely tilts defenders at the top of his routes. Could generate better separation with improved route leverage. Route breaks can be too easy to decipher. Plays fast but seems to be missing separation burst coming out of his breaks. Needs to work back to the ball harder in space. Allows defenders a pathway to the throw rather than sealing them out of the passing lane. Has tendency to keep weight too far forward as run blocker creating opportunity for defender to pull him off-balance.
2165,Jacoby Brissett,QB,North Carolina State,"Big quarterback with an NFL arm. Has the frame and lower body strength to shake off a would­-be sack and extend the play. Possesses competitive spirit and football character needed to be an NFL quarterback. Has a fastball and changeup. Able to step and drive ball into tight windows with plus accuracy or put feathery soft touch on throws when needed. Plays in pro­-style scheme. Has experience under center and is comfortable in boot-­action pass attack. Makes good decisions reading combination routes. Generally accurate passer who excels in intermediate throws. Wolfpack offense features a menu full of challenging deep outs and field side throws, but he has the arm, timing and confidence to handle it. Makes anticipatory throws into developing windows without flinching. Able to bolt pocket and challenge defenses with his feet. Ran less in 2015, choosing to challenge defenses with his arm after extending plays outside the pocket. Has arm talent, strength and moxie to make winning plays with defenders draped on him and completed almost 60 percent of his passes when forced to throw on the move. Rose to the occasion against Florida State in 2014 and Clemson in 2015.",Downward trajectory from over­-the­-top delivery causes some throws to sink. Has been severely pressured over last two seasons and developed bad habits because of it. Will drop eyes when he feels pressure and throws off his back foot as tools of survival. Occasionally muscles a back­foot throw despite having time to step and drive the ball. Still learning to calm feet and deliver rather than bail when defender is closing in. Carries ball low and away from body when scrambling. Has moments where he is oblivious to pre­-snap tells that blitz is coming off the edge. Needs to transition from always trying to fight through sacks to getting rid of the ball more quickly. Struggles with deep ball accuracy completing just 23.1 percent on attempts of 21-plus yards. Had several overthrows when tasked with deep throws down sideline versus man coverage. Failed to recognize receivers running wide open down the seam. Gets locked in on a pre­-snap plan and has issues altering his itinerary quickly.
2530,James Conner,RB,Pittsburgh,"Team captain known for incredible resilience and mental toughness. Leaned down and added more muscle mass this season. Arm tackles are a waste of time. Carries heavy momentum behind pads at finish. Drops shoulder to punish final tackler. Uses wicked stiff-arm to punch and swat tacklers to the ground. Creates for himself through brute force. Natural power in lower half. Doesn't need a clean point of entry for aggressive, downhill charge. Excellent contact balance despite heavy shots on his legs. Short-yardage specialist who can move the chains and score touchdowns. Willing to leave his feet and sacrifice body near goal line. Willing blocker in pass pro and showed ability to come out of backfield in wheel routes, swing passes and outs.","Needs a clean slate of blocks to consistently make his way around the corner on the next level. Could struggle to accelerate from tacklers if he gets too cute. Runs with stiff hips and heavy legs. Lacks quick-escape athleticism for sudden shake in open field. All power, no finesse. Early defensive penetration short-circuits his run. Average lateral movement and not desired amount for every-down back. Can be a little slow to process moving parts in front of him. Not a press-and-cut back and needs to learn to set blocks up better. Hands a little stiff as pass catcher and will fight the ball at times. Tape shows occasional confusion in blitz pick-up. Medical concerns will continue to follow him."
1408,Jamison Crowder,WR,Duke,Great instant acceleration. Will burst out of cuts and gain separation when working underneath. Good route-runner who consistently gets on top of defenders quicker than they expect. Will sink hips and snap his route off abruptly. Has experience as both outside and slot wide receiver. Will give effort as a blocker. Has return experience in special teams.,Lacks desired NFL size. Below-average length and hands and offers a small target radius for quarterbacks. Not an authoritative runner after the catch. Can be redirected in his routes by physical cornerbacks. High number of targets came from bubble screens and quick hitters. Has focus drops.
1795,Jordan Howard,RB,Indiana,"Showed ability to step his game up against top competition at both UAB and Indiana. Rushed for at least 145 yards in every full game he played. Natural runner who combines tempo with a special feel for spacial relationships. Pro­-ready vision gives him outstanding feel for run lane developments at the line of scrimmage and onto the second level. Consistently chooses best angles and creases for optimal yardage. For a big back, can make himself skinny through tight quarters. Decisive and punishing. Drops pads and accelerates into contact to batter would-­be tacklers on the second and third levels. Drives legs through arm tackles and goes about his work. Hard-­charging when it’s third- or fourth-and-short. Showed potential in screen game as receiver.",Doesn't have sudden one-­cut ability and has to tap brakes to hit it downhill on outside zone runs. One-speed runner. Can be chased down by backside sprinters before getting to the second level. Takes big hits due to bruising running style. Scouts concerned about ability to stay healthy. Missed four games and parts of three others with knee and ankle injuries. Upright pads and narrow base leads to slips and balance issues when trying to make sharp cuts. Rarely factored into passing game at UAB or Indiana.
2217,Kareem Hunt,RB,Toledo,Compact body with broad frame and muscular legs. Above-average agility for his size. Has hips and feet to elude darting defenders in backfield. Uses effective jump-cut to avoid the sludge and shift to the open gap. Runs with good vision and overall instincts. Presses the line before making back-side cuts. Conforms his run to changing space within running lane. Spin moves are effective against first-look tacklers on second level. Suddenly shifts to bounce an inside run to the perimeter. Strings moves together on outside zone plays. Runs with knee bend and forward lean. Adequate pass catcher for screens and check-downs.,"Can elude initial tackle but struggles to accelerate after redirecting his feet. Average explosion traits. Marginal downhill burst through line of scrimmage. Inconsistent inside runner. Gets too cute in the hole when run comes to a close. Looks to spin rather than finish with authority. Needs to run to his size more consistently. Premature in breaking off play-side runs in outside zone. He might not trust his play speed. Slight gear-down into downhill cuts. Could struggle to find chunk runs on next level. Chip ""leans"" rather than chip blocks allowing open rib shots to go unclaimed."
2164,Kenyan Drake,RB,Alabama,"Can be exhausting watching him because feet never stop moving -- ever. Able to elude defenders. Features second gear to burst through line and can string together moves in open field. Will press line of scrimmage effectively to set up his blocks. Legs keep churning through contact. Willing to aggressively finish runs. Will gain more yards post-contact than expected. Very quick feet with the lateral agility to escape from heavy traffic and bounce it outside. Used at times as slot receiver and has ability to be effective pass-catcher in pros. Was kick returner, blocked a punt and made several tackles while playing special teams at Alabama.",Can be almost too frenetic. Mind seems to be racing with ball in his hands and he will show a lack of patience at times. Responds to what is in front of him rather than anticipating what is coming. Inconsistent hands with five drops to 44 catches during his career. Can get too dancey when asked to play downhill. Tendency to cut runs toward sideline rather than back into middle of the field. Change-of-pace runner without a go-­to value. Suffered broken leg in 2014 and broken arm in 2015.
3327,Mark Andrews,TE,Oklahoma,"Took on additional workload this year and produced at a high level. Red-zone rainmaker with a touchdown in every five catches. Crafty in adjusting routes. Not overly sudden or quick, but finds ways to uncover. Uses body to leverage positioning at the top of the route. Can mismatch defensive backs with his frame. Has shown ability to handle complex routes. Plays with consistent pace through route breaks to optimize separation in tight spaces. Has learned to catch defenders on his hip and keep them there through the catch. A quarterback's friend with ability to drop and save the low throw as well as secure contested catches in traffic. Has footwork and athleticism to make tacklers miss. Averaged 15.8 yards per catch for his career.",Appears noticeably slower than earlier in his career. Looks bulkier and more limited in his athletic movements. Will be an inconsistent third-level option. Doesn't have the acceleration to pull away from man coverage down the field. Pulls up a little short when tracking deep throws. Separation windows close quickly on him. Gives poor effort as a blocker. Lacks aggression. Doesn't look for work enough. Hand usage and angles to his work as a blocker are poor. Big but unreliable in running game.
2599,Nyheim Hines,RB,North Carolina State,"Two-sport participant who brings real sprinter's speed to the turf. Versatile threat offering creative offensive coordinators a toy to tinker with. Has experience as lone running back and slot receiver. Flashed his homerun potential with touchdown runs of 83, 54, 50, and 48 this season. Most comfortable when he's keeping outside zone carries over the tackle. Build-up speed can eliminate pursuit angles and thrust him into open space for chunk yardage. Quality stiff-arm. Plays with adequate toughness to gain yards after contact. Hands and catch focus showed improvement this season as a receiver. Possesses raw talent waiting to be molded. Has kick and punt return experience and has taken three kicks back for touchdowns.",Smaller than ideal as a running back. Needs to do better job of sidestepping big hits or face durability concerns. Better athlete than running back and better runner than receiver. Lacks feel for blocking in front of him. Hasn't learned to hug the lane and flow away from traffic just yet. Can be slow to see run lane development allowing defenders a chance to close. Needs to run with more consistent tempo and rhythm in outside zone. Vision stalls when attempting to find cutback lanes. Not a natural pass catcher and has dealt with drops throughout his career. Needs to improve sink into routes and quickness into his breaks.
4275,Rachaad White,RB,Arizona State,"Impressive production as full-time RB1.
Three-down workload of carries and catches.
Desired size and build of an early down running back.
Patient runner reading his block development.
Easy transition from reactive to aggressive when finishing runs.
Can stack cuts when maneuvering around linebackers.
Locates the tight crease and squeezes in near the paint.
Scored at least one touchdown in 9 of 11 games in 2021.","Works in ""slow-and-go"" mode when changing directions.
Too tight-hipped for abrupt lateral/diagonal cuts.
Play speed needs a boost.
Too quick to quit on play-side run track on stretch plays.
Allows disappointing success rate on first tackle attempt.
Below-average contact balance to careen and continue.
Too inconsistent to be trusted with protection duties."
1397,Stefon Diggs,WR,Maryland,"Fluid, flexible athlete. Five-star recruit who stayed home to help build local program. Instinctive route runner. Does an outstanding job of sinking his hips and exploding out of breaks to create immediate separation. Natural ball-plucker. Excellent body control to adjust to throws, whether they're low, high or behind him. Can make contested catches. Dynamic and dangerous with the ball in his hands. Sudden once he's in space, using head fakes and impressive lateral change of direction to make multiple defenders miss. Instant acceleration is his differentiator from the slot. Played through a lacerated kidney he sustained against Penn State and finished the game. Can be immediate kick returner in the league.","Most of his production came from slot or as outside receiver in space. Must prove he can win as route runner against quality cornerbacks. Play strength is below par. Gets muscled around by physical defenders. Very aware of oncoming traffic and will stop routes to avoid big hits. Gives moderate effort as a blocker, but rarely ends up getting his man blocked. Had season-ending injuries two years in a row (broken leg and lacerated kidney). Suspended one game for his actions in pregame dustup vs. Penn State."
2183,Tarik Cohen,RB,North Carolina A&T,"Nicknamed ""The Human Joystick"" for his ability to make seemingly impossible cuts. Plays with unpredictable movements. Can turn any play into a random game of ""connect the dots."" Rare ability to stop and start. Cuts are just as seamless and sharp from any direction. Field vision is excellent. Has lateral escapability to put would-be tacklers on his highlight tapes. Gifted with unusually large hands and a powerful lower body that enhances his contact balance and ability to drive for extra yardage. Very good acceleration pulls him away from tacklers and into the clear. Relentless competitor. Had four touchdown runs of 83-plus yards this season. A true weapon out of the backfield that will be tough to matchup with. Has good hands and is very slippery in space.","Falls below the size standards expected from the position. Overwhelmed slower and less talented competition. Benefitted from heinous angles to the ball from tacklers he faced. Way too eager to take plays off script. Wants to swing for the fences on every snap and will have to learn when to hit singles. Too eager to bounce everything. Takes his share of negative yardage carries. Feet are electric, but footwork and run track on zone plays needs work. Takes big hits from big men when trying to fight out of tackles and squeeze out extra yards. Stature and short arms make him a tougher target for quarterbacks. Has almost no experience as a punt or kick returner on special teams."
3040,Terry McLaurin,WR,Ohio State,Adequate size and speed combination outside. Quick lateral step and hand slap to beat press. Routes offer some detail and signs of polish. Good feel for leveraging cornerbacks out of position. Crisp angles out of stems and breaks. Physical at the top of his routes. Finds open spaces in scramble situations. Talented gunner with build-up speed and ball-tracking. Ate up one-on-one matchups throughout the week at Senior Bowl.,"Has build-up speed, but lacks early acceleration. Body catcher with below-average extension and high-pointing. Will need to intensify pace of his routes as a pro. Long strides hinder short-area work underneath. Lacks suddenness to separate from tight man. Below-average blocker and willingness to do so. Doesn't create yards after catch with wiggle and needs it in stride. Comes in hot and runs by special teams tackles."
3374,Tony Pollard,RB,Memphis,"Proven playmaker with NFL size. Averaged a touchdown every 13.5 touches and 9.2 yards per touch. Finished three-year run with seven kick return scores. Subtle shifts without breaking stride and runs through arm tackles. Used in joker role but has one-cut potential as runner. Adequate vision and cuts effectively off blocks. Not overly shifty, but creates some misses. Balances through heavy contact for YAC yards. Works into traffic as pass-catcher. Above-average catch-and-run option. Provides valuable roster flexibility.","Takes time to gather weight and cut. Can be impatient with the ball in his hands. Improv-oriented and gets off rush track as running back. Below-average short-area route quickness. Needs to be more sudden to uncover against tight man. Needs more bend and upfield burst into routes. Runs rounded, telegraphed slants. Body catcher and struggles to rescue poor throws. Needs to work back to ball earlier."
1437,Tyler Lockett,WR,Kansas State,Good play speed. Has twitch at top of his routes and gets separation for quarterbacks to make open throws. His father was a standout wide receiver at Kansas State and played in the NFL. Intelligent player on field who has clearly learned from his father. Nuanced route runner with ability to sell. Will vary route speed and is proficient with double moves. Scouts say his personal character and football character are top-notch. Has a knack for making explosive plays as a receiver and return man. Steps up his game when matched up against top competition across from him. Likes to block.,Very slightly built. Struggles with physical cornerbacks and can be redirected in his routes. Press coverage could be an issue for him on the next level. Scouts are concerned that he is too slightly built to be a full-time NFL kick returner. Likely relegated to the slot only in the NFL. Hands are inconsistent in traffic. Top-end speed in question. Got caught from behind more than once.
1817,Tyreek Hill,WR,West Alabama,,
